rogram,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2002,WEEK #13,3/31/2002,STATE,MISSOURI,29,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MISSOURI,29,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MONTANA,30,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,MONTANA,30,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NEBRASKA,31,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,24,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NEBRASKA,31,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NEW MEXICO,35,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NORTH CAROLINA,37,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,OHIO,39,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,12,
SURVEY,2002,WEEK #13,3/31/2002,STATE,OKLAHOMA,40,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,OKLAHOMA,40,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,PENNSYLVANIA,42,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,4,
SURVEY,2002,WEEK #13,3/31/2002,STATE,SOUTH CAROLINA,45,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,4,
SURVEY,2002,WEEK #13,3/31/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,2002,WEEK #13,3/31/2002,STATE,TENNESSEE,47,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,TEXAS,48,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #13,3/31/2002,STATE,TEXAS,48,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,22,
SURVEY,2002,WEEK #13,3/31/2002,STATE,TEXAS,48,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,31,
SURVEY,2002,WEEK #13,3/31/2002,STATE,VIRGINIA,51,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #13,3/31/2002,STATE,WASHINGTON,53,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,15,
SURVEY,2002,WEEK #13,3/31/2002,STATE,WASHINGTON,53,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,19,
SURVEY,2002,WEEK #13,3/31/2002,STATE,WISCONSIN,55,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ALABAMA,1,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ARIZONA,4,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,18,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ARKANSAS,5,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ARKANSAS,5,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,4,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ARKANSAS,5,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #14,4/7/2002,STATE,CALIFORNIA,6,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,18,
SURVEY,2002,WEEK #14,4/7/2002,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,COLORADO,8,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,GEORGIA,13,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,IDAHO,16,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,17,
SURVEY,2002,WEEK #14,4/7/2002,STATE,IDAHO,16,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,25,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,ILLINOIS,17,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #14,4/7/2002,STATE,IOWA,19,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,IOWA,19,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,31,
SURVEY,2002,WEEK #14,4/7/2002,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,2002,WEEK #14,4/7/2002,STATE,LOUISIANA,22,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,LOUISIANA,22,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,47,
SURVEY,2002,WEEK #14,4/7/2002,STATE,LOUISIANA,22,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,3,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MINNESOTA,27,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MINNESOTA,27,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MINNESOTA,27,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MINNESOTA,27,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,2,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSISSIPPI,28,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSISSIPPI,28,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,9,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSOURI,29,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSOURI,29,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MISSOURI,29,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MONTANA,30,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,2002,WEEK #14,4/7/2002,STATE,MONTANA,30,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,3,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NEBRASKA,31,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,36,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NEBRASKA,31,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NEW MEXICO,35,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,14,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH CAROLINA,37,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,NORTH DAKOTA,38,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,OHIO,39,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #14,4/7/2002,STATE,OHIO,39,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,30,
SURVEY,2002,WEEK #14,4/7/2002,STATE,OKLAHOMA,40,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,OKLAHOMA,40,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,PENNSYLVANIA,42,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,16,
SURVEY,2002,WEEK #14,4/7/2002,STATE,SOUTH CAROLINA,45,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,2002,WEEK #14,4/7/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,10,
SURVEY,2002,WEEK #14,4/7/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,SOUTH DAKOTA,46,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,13,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TENNESSEE,47,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,16,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TENNESSEE,47,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TEXAS,48,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,45,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TEXAS,48,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,9,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TEXAS,48,,,,,,,0,,RICE,"RICE - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,36,
SURVEY,2002,WEEK #14,4/7/2002,STATE,TEXAS,48,,,,,,,0,,SORGHUM,"SORGHUM - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,36,
SURVEY,2002,WEEK #14,4/7/2002,STATE,VIRGINIA,51,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,WASHINGTON,53,,,,,,,0,,BARLEY,"BARLEY - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,25,
SURVEY,2002,WEEK #14,4/7/2002,STATE,WASHINGTON,53,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,38,
SURVEY,2002,WEEK #14,4/7/2002,STATE,WISCONSIN,55,,,,,,,0,,CORN,"CORN - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
SURVEY,2002,WEEK #14,4/7/2002,STATE,WISCONSIN,55,,,,,,,0,,OATS,"OATS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #15,4/14/2002,STATE,ALABAMA,1,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,8,
SURVEY,2002,WEEK #15,4/14/2002,STATE,ARIZONA,4,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,32,
SURVEY,2002,WEEK #15,4/14/2002,STATE,ARKANSAS,5,,,,,,,0,,COTTON,"COTTON, UPLAND - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,0,
